title,image
КНЯЖНА ТАРАКАНОВА_Флавицкий_Константин.txt,https://cdn.tretyakov.ru/mytretyakov/25/3504d9a05d7872b9d79c728afb8dccf1/thumb/45212b983aab14869a8e32126f400b73_x1.jpg
ПРЯХА_Андреев_Николай.txt,https://cdn.tretyakov.ru/mytretyakov/114/7db408c945970fa5b0ba4cd94274ee51/thumb/76809e03c19cdf3efe6ac04c22f631df_x1.jpg
РАДУГА_Айвазовский_Иван.txt,https://cdn.tretyakov.ru/mytretyakov/23/b073f04b60c5fde85f18212c74945b8b/thumb/50f1eb8f8dd2e591a5e6af1c524923c4_x1.jpg
ЗАРОСШИЙ ПРУД_Поленов_Василий.txt,https://cdn.tretyakov.ru/mytretyakov/24/14d5f518c32e9d2de05e84c05981d56a/thumb/5bb430f4482f30a682e554b0720db04c_x1.jpg
ПОРТРЕТ Л.Н. ТОЛСТОГО_Ге_Николай.txt,https://cdn.tretyakov.ru/mytretyakov/24/1a244a3c4dc87f8b3c8e6045fa2848ce/thumb/347ce70a426ca08bdd87de9846115d2a_x1.jpg
ВЕСНА_Каменев_Лев.txt,https://cdn.tretyakov.ru/mytretyakov/24/041bdb6f7b3ac0af1c82412d33769429/thumb/1221c912fe8eb9f08d8a3a7bb3ca90c1_x1.jpg
ЭКОРШЕ ГУДОНА_Рерих_Николай.txt,https://cdn.tretyakov.ru/mytretyakov/c/6f8cb666fa58ffb761c36391ad230a16/thumb/b6d9825c4eadbebe26c1e030b10f4e97_x1.jpg
ЗВОН. КОЛОКОЛЬНЯ ИВАНА ВЕЛИКОГО_Лентулов_Аристарх.txt,https://cdn.tretyakov.ru/mytretyakov/26/5b4330dacc261a027d8130b8a332b97c/thumb/43c1e7aea10acfceb20b3360b1da2e6a_x1.jpg
ВЕЧЕРНИЙ ЗВОН_Левитан_Исаак.txt,https://cdn.tretyakov.ru/mytretyakov/24/b567868d1130b5e200d8ee511e4c38cd/thumb/60c04c44cd7d49bc7677f77e0e71a8d4_x1.jpg
ВЕСНОЙ В ЛЕСУ_Левитан_Исаак.txt,https://cdn.tretyakov.ru/mytretyakov/24/4e95499e3d02356433e802da95aebff9/thumb/cf024b223fe9a46e3a76a0635ad18435_x1.jpg
ГОНЦЫ. РАННИМ УТРОМ В КРЕМЛЕ_Васнецов_Аполлинарий.txt,https://cdn.tretyakov.ru/mytretyakov/25/6af54308c295be607e56b434bd28e077/thumb/7523cb0f00b5c434f0a1dad12cebdc5c_x1.jpg
ПОХОРОННЫЙ ОРКЕСТР_Николаев_Иван.txt,https://cdn.tretyakov.ru/mytretyakov/10d/7c1dd5a20c3739172f55f9595e8c36f0/thumb/58bb5a4bfb43137adf42884e27dcb2f2_x1.jpg
СВАДЬБЫ У АЛЕКСАНДРОВСКОГО САДА_Николаев_Иван.txt,https://cdn.tretyakov.ru/mytretyakov/10d/ce9a107ff17c2d24e68a8375a5e36f69/thumb/6992e780da42e6ab4116baeb227121e7_x1.jpg
ВЕСНА_Брюллов_Павел.txt,https://cdn.tretyakov.ru/mytretyakov/23/7dbc54964aa4e0e661080ce75136e70b/thumb/23896b836f108b18645939fa68009696_x1.jpg
ГОСУДАРСТВЕННАЯ ТРЕТЬЯКОВСКАЯ ГАЛЕРЕЯ_Корин_Павел.txt,https://cdn.tretyakov.ru/mytretyakov/43/cb6310bed65762ca608100c92617816c/thumb/226b5bf02bf8b97501335e2792e5abc7_x1.jpg
МАРИИНСКИЙ ДВОРЕЦ В С.-ПЕТЕРБУРГЕ_Садовников_Василий.txt,https://cdn.tretyakov.ru/mytretyakov/3/07c61aeb570b2db8bf52958f3452aee4/thumb/57b1aef54a5a23b44da494a4855ebc82_x1.jpg
ТОРЖЕСТВУЮТ_Верещагин_Василий.txt,https://cdn.tretyakov.ru/mytretyakov/23/e1ab6299dc1ba5ff9b6b81b7dab14b25/thumb/c513fea554d03f18acfdcf884fba5068_x1.jpg
ВЕСЕННИЙ ВЕЧЕР В РОСТОВЕ_Забелин_Вячеслав.txt,https://cdn.tretyakov.ru/mytretyakov/37/dff955a45eec7bc86aa6de3423d4ead6/thumb/91fc2dadf83393a48f2d11290f6379bf_x1.jpg
ПРИСТАНЬ УШИ В ЛОЗАННЕ. ШВЕЙЦАРИЯ_Боголюбов_Алексей.txt,https://cdn.tretyakov.ru/mytretyakov/4/21c414c9bf7fa7651018bc2030a24cfc/thumb/256ebbdbc3572683b8647ebccd2b85de_x1.jpg
КОЛОКОЛЬЧИК ПОЛЕВОЙ. ВАСИЛЕК СИНИЙ. КОРОСТАВНИК ПОЛЕВОЙ_Голубкина_Анна.txt,https://cdn.tretyakov.ru/mytretyakov/a1/d5c57e15437c11764438c4409f44ea77/thumb/6c103e285fdc7248db8b849a5828cf25_x1.jpg
ТАНЕЦ СРЕДИ МЕЧЕЙ_Семирадский_Генрих.txt,https://cdn.tretyakov.ru/mytretyakov/25/f1ca3c9386c78744e0f9e88d45ea6af6/thumb/967ef941694fd6cc9021fb9bdd7b0154_x1.png
КУХОННОЕ ОКНО. ПЕРЕЛЕТ_Маврина_Татьяна.txt,https://cdn.tretyakov.ru/mytretyakov/147/90183b6338994f76dd13884c55069e47/thumb/de2e3af560b7ca0fd00717f4da43061d_x1.jpg
В МАСТЕРСКОЙ ХУДОЖНИКА_Маковский_Константин.txt,https://cdn.tretyakov.ru/mytretyakov/24/4e1aa955e719288ec6f3661b017855e2/thumb/a6f510a13e1059f8700178f46a80f543_x1.jpg
ПОХИЩЕНИЕ ЕВРОПЫ_Серов_Валентин.txt,https://cdn.tretyakov.ru/mytretyakov/21/991e90ff88f048e68847a2ea100444d0/thumb/ac1ea2368140a9e619c45c9595c90983_x1.jpg
НА МУРМАНЕ. БЛИЗ ГАВАНИ_Борисов_Александр.txt,https://cdn.tretyakov.ru/mytretyakov/25/0bc668c147b17193ac3be0bcffdfe0ec/thumb/0d3180d672e08b4c5312dcdafdf6ef36_x1.png
